name,role,sentence,true_role
ODPM,Author,"UK house prices dip in November

UK house prices dipped slightly in November, the Office of the Deputy Prime Minister (ODPM) has said.

",unknown
Mark Miller,Author,"""Overall, the housing market activity is slowing down and that is backed up by the mortgage lending and the mortgage approvals data,"" said Mark Miller, at HBOS Treasury Services.",unknown
ODPM,Author,The ODPM attributed the monthly fall of prices in November to a drop in the value of detached houses and flats.,unknown
Yorkshire,Author,"The North East showed the highest rate of inflation at 26.2%, followed by Yorkshire and the Humber on 21.7%, and the North West on 21.1%.",unknown
Euronext,Author,"A Â£1.3bn offer from Deutsche Boerse has already been rejected, while Euronext has said it will make an all cash bid.",unknown
Werner Seifert,Author,"However, the Sunday Telegraph report added that there are signs that Deutsche Boerse chief executive Werner Seifert is becoming increasingly impatient with the LSE's managed bid process.

",unknown
Seifert,Author,"The newspaper also claimed Mr Seifert was becoming ""increasingly frustrated"" with the pace of negotiations since Deutsche Boerse's Â£1.3bn offer was rejected in mid-December, in particular the LSE's decision to suspend talks over the Christmas period.",unknown
Harinordoquy,Author,Harinordoquy was a second-half replacement in last Saturday's 24-18 defeat to Wales.,unknown
Pascal Pape,Author,"Bourgoin lock Pascal Pape, who has recovered from a sprained ankle, returns to the 22-man squad.",unknown
Ludovic Valbon,Film Actor,"Wing Cedric Heymans and Ludovic Valbon come in for Aurelien Rougerie and Jean-Philippe Grandclaude.

",unknown
Aurelien Rougerie,Film Actor,"Wing Cedric Heymans and Ludovic Valbon come in for Aurelien Rougerie and Jean-Philippe Grandclaude.

",unknown
Jean-Philippe Grandclaude,Film Actor,"Wing Cedric Heymans and Ludovic Valbon come in for Aurelien Rougerie and Jean-Philippe Grandclaude.

",unknown
Rougerie,Author,Rougerie hurt his chest against Wales while Grandclaude was a second-half replacement against both England and Wales.,unknown
Grandclaude,Author,Rougerie hurt his chest against Wales while Grandclaude was a second-half replacement against both England and Wales.,unknown
Bernard Laporte,Author,France coach Bernard Laporte said Harinordoquy had been axed after a poor display last weekend.,unknown
Harinordoquy,Author,France coach Bernard Laporte said Harinordoquy had been axed after a poor display last weekend.,unknown
